:START_ID(Person),rank:int,:END_ID(Person)
0, 0, 8062
1, 0, 9311
1, 1, 7045
1, 2, 5452
1, 3, 5390
1, 4, 4383
1, 5, 5183
2, 0, 3555
2, 1, 5292
2, 2, 4095
2, 3, 4289
3, 0, 8724
3, 1, 5317
3, 2, 9628
3, 3, 774
3, 4, 8536
3, 5, 1475
3, 6, 7532
3, 7, 3649
3, 8, 9597
4, 0, 7948
4, 1, 4713
4, 2, 6067
4, 3, 2570
4, 4, 7926
4, 5, 4743
4, 6, 2506
4, 7, 1719
4, 8, 6341
5, 0, 1847
5, 1, 7442
5, 2, 7706
5, 3, 8614
5, 4, 3051
5, 5, 2339
5, 6, 5365
5, 7, 8668
5, 8, 7539
5, 9, 2618
5, 10, 3102
5, 11, 1245
5, 12, 8183
5, 13, 7811
5, 14, 3030
6, 0, 7328
6, 1, 9870
6, 2, 2328
6, 3, 3446
6, 4, 9194
6, 5, 6856
6, 6, 6636
6, 7, 9671
7, 0, 5518
7, 1, 2932
7, 2, 7256
7, 3, 6499
7, 4, 35
8, 0, 8011
8, 1, 2850
8, 2, 2523
8, 3, 7079
8, 4, 4258
9, 0, 3722
9, 1, 5131
9, 2, 1134
9, 3, 2581
9, 4, 3811
9, 5, 5578
9, 6, 3839
9, 7, 5306
9, 8, 3044
9, 9, 3454
9, 10, 6250
10, 0, 7573
10, 1, 2777
10, 2, 7650
10, 3, 7534
10, 4, 6843
10, 5, 5986
11, 0, 6598
11, 1, 8531
11, 2, 5538
11, 3, 35
11, 4, 2171
11, 5, 116
11, 6, 8298
11, 7, 892
11, 8, 9514
11, 9, 7581
11, 10, 7826
11, 11, 4282
12, 0, 273
12, 1, 9367
12, 2, 4248
12, 3, 4804
12, 4, 3968
12, 5, 3075
13, 0, 2734
13, 1, 2229
13, 2, 7484
13, 3, 4901
13, 4, 1451
14, 0, 5556
14, 1, 9168
14, 2, 3674
14, 3, 6174
14, 4, 8557
14, 5, 121
14, 6, 6875
15, 0, 6777
15, 1, 2589
15, 2, 6867
15, 3, 5572
15, 4, 7660
15, 5, 2907
15, 6, 7479
15, 7, 5186
15, 8, 6914
15, 9, 613
15, 10, 7818
15, 11, 9941
15, 12, 6858
15, 13, 4136
15, 14, 4801
16, 0, 1836
16, 1, 15
17, 0, 5683
18, 0, 6445
18, 1, 8016
18, 2, 8025
18, 3, 40
18, 4, 5112
19, 0, 8502
19, 1, 7928
19, 2, 7436
19, 3, 635
19, 4, 4438
19, 5, 1746
19, 6, 3935
19, 7, 8302
19, 8, 7237
20, 0, 1984
20, 1, 4406
20, 2, 7398
20, 3, 5555
20, 4, 2145
20, 5, 1295
20, 6, 4864
20, 7, 4910
21, 0, 4738
21, 1, 7885
21, 2, 6924
21, 3, 260
21, 4, 8025
22, 0, 4651
22, 1, 1672
22, 2, 6769
22, 3, 3535
22, 4, 9973
22, 5, 4983
22, 6, 8827
22, 7, 8814
22, 8, 2774
22, 9, 5428
22, 10, 1451
22, 11, 542
22, 12, 9788
23, 0, 9627
23, 1, 5913
23, 2, 237
23, 3, 4733
23, 4, 7740
23, 5, 8120
23, 6, 7794
23, 7, 9585
23, 8, 1957
23, 9, 5677
24, 0, 4319
24, 1, 3712
24, 2, 9638
24, 3, 316
24, 4, 3675
24, 5, 8553
25, 0, 5954
25, 1, 1608
25, 2, 6877
26, 0, 8901
26, 1, 9211
26, 2, 649
27, 0, 6996
27, 1, 4966
27, 2, 4186
27, 3, 3667
27, 4, 2212
27, 5, 6339
27, 6, 5237
27, 7, 9543
28, 0, 8570
29, 0, 3953
29, 1, 8289
29, 2, 4435
29, 3, 7969
29, 4, 4476
29, 5, 9775
30, 0, 8107
30, 1, 9400
30, 2, 4910
30, 3, 2199
30, 4, 6230
31, 0, 6132
31, 1, 9753
32, 0, 9382
32, 1, 1497
32, 2, 8948
32, 3, 5384
32, 4, 5073
32, 5, 6062
32, 6, 2377
32, 7, 1381
33, 0, 144
33, 1, 6590
33, 2, 7815
33, 3, 473
33, 4, 5734
33, 5, 2806
33, 6, 6811
34, 0, 3652
34, 1, 931
34, 2, 1338
34, 3, 8696
34, 4, 5667
34, 5, 2264
34, 6, 2410
34, 7, 9161
35, 0, 7262
35, 1, 9374
36, 0, 9644
36, 1, 1097
36, 2, 3207
36, 3, 6147
36, 4, 7336
37, 0, 1549
37, 1, 2488
37, 2, 6141
37, 3, 7811
37, 4, 1767
37, 5, 4922
37, 6, 8295
38, 0, 8937
38, 1, 4475
38, 2, 6576
38, 3, 9177
39, 0, 6286
39, 1, 1792
39, 2, 2968
39, 3, 5067
40, 0, 1314
40, 1, 468
40, 2, 1916
40, 3, 5167
40, 4, 5550
